,Chave do item,ID do item,Chave do projeto,Prioridade,Solicitante,Responsável,Campo personalizado (Enviado para N2),Criado,Atualizado,Campo personalizado (Ambiente),Campo personalizado (Categoria),Campo personalizado (Client ID)
19,DATA-78896,78896,DATA,Low,Agent18,Analist3,27/06/24 4:51 PM,27/06/24 4:51 PM,28/06/24 9:26 AM,Product 4,Category12,611
20,PLAT-44291,44291,PLAT,Low,Agent15,Analist0,28/06/24 9:38 AM,27/06/24 4:51 PM,28/06/24 10:01 AM,Product 4,Category5,768
21,ROUT-64466,64466,ROUT,Low,Agent19,Analist0,27/06/24 4:49 PM,27/06/24 4:49 PM,28/06/24 8:36 AM,Product 4,Category13,2099
22,ROUT-75162,75162,ROUT,Low,Agent14,Analist8,27/06/24 5:17 PM,27/06/24 4:46 PM,28/06/24 8:47 AM,Product 4,Category0,626
23,ROUT-83522,83522,ROUT,Low,Agent20,Analist1,28/06/24 9:09 AM,27/06/24 4:45 PM,28/06/24 9:13 AM,Product 4,Category14,1326
24,SITE-54955,54955,SITE,Low,Agent16,Analist10,27/06/24 4:45 PM,27/06/24 4:45 PM,28/06/24 9:34 AM,Product 4,Category15,1498
25,PLAT-66491,66491,PLAT,Low,Agent21,Analist2,27/06/24 4:39 PM,27/06/24 4:39 PM,28/06/24 9:55 AM,Product 4,Category2,1375
26,ROUT-88822,88822,ROUT,Low,Agent13,Analist3,27/06/24 4:39 PM,27/06/24 4:39 PM,28/06/24 9:39 AM,Product 4,Category16,734
27,PLAT-61644,61644,PLAT,Low,Agent17,Analist4,27/06/24 4:33 PM,27/06/24 4:33 PM,28/06/24 9:10 AM,Product 4,Category17,2048
28,PLAT-28284,28284,PLAT,Low,Agent21,Analist3,27/06/24 4:28 PM,27/06/24 4:28 PM,27/06/24 4:32 PM,Product 4,Category18,986
29,ROUT-62654,62654,ROUT,Low,Agent19,Analist3,27/06/24 4:25 PM,27/06/24 4:25 PM,28/06/24 9:18 AM,Product 4,Category19,1267
30,PLAT-71685,71685,PLAT,Low,Agent14,Analist11,27/06/24 4:07 PM,27/06/24 3:56 PM,27/06/24 4:26 PM,Product 4,Category20,54
31,CONN-4697,4697,CONN,Medium,Agent11,Analist3,27/06/24 3:53 PM,27/06/24 3:53 PM,27/06/24 4:11 PM,Product 4,Category10,2167
32,ROUT-90960,90960,ROUT,Low,Agent0,Analist12,27/06/24 3:55 PM,27/06/24 3:51 PM,28/06/24 9:42 AM,Product 4,Category9,1528
33,ROUT-66871,66871,ROUT,Low,Agent15,Analist12,27/06/24 3:46 PM,27/06/24 3:46 PM,28/06/24 10:01 AM,Product 4,Category4,531
34,PLAT-57345,57345,PLAT,Low,Agent1,Analist3,27/06/24 3:46 PM,27/06/24 3:46 PM,27/06/24 4:14 PM,Product 4,Category5,110
35,BASE-42742,42742,BASE,Low,Agent13,Analist3,27/06/24 3:36 PM,27/06/24 3:36 PM,28/06/24 8:50 AM,Product 4,Category21,1247
36,PLAT-53756,53756,PLAT,High,Agent22,Analist11,27/06/24 3:34 PM,27/06/24 3:34 PM,28/06/24 9:03 AM,Product 4,Category9,1463
37,PLAT-00230,00230,PLAT,Low,Agent16,Analist11,27/06/24 3:36 PM,27/06/24 3:31 PM,28/06/24 8:43 AM,Product 4,Category22,415
38,NET-47699,47699,NET,Low,Agent23,Analist13,27/06/24 3:29 PM,27/06/24 3:29 PM,27/06/24 3:55 PM,Product 4,Category23,1053
39,SITE-18060,18060,SITE,Medium,Agent8,Analist3,27/06/24 3:22 PM,27/06/24 3:22 PM,27/06/24 3:32 PM,Product 4,Category3,1839
40,PLAT-41677,41677,PLAT,Low,Agent24,Analist5,27/06/24 3:17 PM,27/06/24 3:17 PM,28/06/24 9:07 AM,Product 4,Category24,2213
41,PLAT-09334,09334,PLAT,Low,Agent15,Analist6,27/06/24 3:12 PM,27/06/24 3:12 PM,27/06/24 3:57 PM,Product 4,Category25,1460
42,SITE-52801,52801,SITE,Medium,Agent25,Analist10,27/06/24 3:09 PM,27/06/24 3:09 PM,27/06/24 4:25 PM,Product 4,Category26,198
43,PLAT-36324,36324,PLAT,Low,Agent9,Analist3,27/06/24 2:56 PM,27/06/24 2:56 PM,28/06/24 6:10 AM,Product 4,Category27,1285
44,SITE-70218,70218,SITE,Low,Agent26,Analist10,27/06/24 3:33 PM,27/06/24 2:55 PM,28/06/24 9:08 AM,Product 4,Category6,918
45,NET-44028,44028,NET,Medium,Agent27,Analist3,27/06/24 2:52 PM,27/06/24 2:52 PM,27/06/24 2:58 PM,Product 4,Category10,612
46,PLAT-66104,66104,PLAT,Low,Agent16,Analist3,27/06/24 2:52 PM,27/06/24 2:52 PM,27/06/24 3:35 PM,Product 4,Category28,1221
47,ROUT-87628,87628,ROUT,Medium,Agent22,Analist1,27/06/24 2:46 PM,27/06/24 2:46 PM,28/06/24 8:01 AM,Product 4,Category29,1106
48,PLAT-88213,88213,PLAT,Low,Agent24,Analist3,27/06/24 2:42 PM,27/06/24 2:42 PM,28/06/24 9:19 AM,Product 4,Category30,1237
49,DATA-26169,26169,DATA,Low,Agent28,Analist11,27/06/24 2:38 PM,27/06/24 2:36 PM,27/06/24 4:52 PM,Product 4,Category12,642
50,PLAT-02014,02014,PLAT,Low,Agent16,Analist11,27/06/24 3:38 PM,27/06/24 2:35 PM,28/06/24 9:08 AM,Product 4,Category31,283
51,SITE-27099,27099,SITE,Low,Agent15,Analist3,27/06/24 2:27 PM,27/06/24 2:27 PM,27/06/24 2:30 PM,Product 4,Category32,1022
52,ROUT-39951,39951,ROUT,Low,Agent29,Analist5,27/06/24 2:17 PM,27/06/24 2:17 PM,28/06/24 9:07 AM,Product 4,Category14,2117
53,PLAT-89067,89067,PLAT,Low,Agent6,Analist9,27/06/24 3:05 PM,27/06/24 2:17 PM,28/06/24 9:53 AM,Product 4,Category32,580
54,PLAT-09175,09175,PLAT,Low,Agent16,Analist0,27/06/24 1:15 PM,27/06/24 1:15 PM,27/06/24 2:16 PM,Product 4,Category33,1248
55,PLAT-49361,49361,PLAT,Low,Agent24,Analist12,27/06/24 1:10 PM,27/06/24 1:10 PM,27/06/24 2:03 PM,Product 4,Category17,1712
56,ROUT-46351,46351,ROUT,Low,Agent13,Analist12,27/06/24 12:37 PM,27/06/24 12:37 PM,28/06/24 8:59 AM,Product 4,Category14,379
57,DATA-59689,59689,DATA,Low,Agent5,Analist14,27/06/24 12:29 PM,27/06/24 12:29 PM,27/06/24 2:47 PM,Product 4,Category7,2054
58,PLAT-37937,37937,PLAT,Low,Agent18,Analist12,27/06/24 12:45 PM,27/06/24 12:23 PM,28/06/24 9:04 AM,Product 4,Category4,97
59,CONN-4362,4362,CONN,Medium,Agent27,Analist15,27/06/24 12:18 PM,27/06/24 12:18 PM,27/06/24 6:04 PM,Product 4,Category10,3
60,PLAT-64089,64089,PLAT,Medium,Agent30,Analist8,27/06/24 12:34 PM,27/06/24 12:16 PM,27/06/24 3:33 PM,Product 4,Category17,1487
61,PLAT-90683,90683,PLAT,Medium,Agent28,Analist9,27/06/24 11:55 AM,27/06/24 11:55 AM,28/06/24 9:22 AM,Product 4,Category3,1586
62,PLAT-93193,93193,PLAT,Low,Agent31,Analist8,27/06/24 11:52 AM,27/06/24 11:48 AM,28/06/24 9:03 AM,Product 4,Category5,1469
63,SITE-33041,33041,SITE,Medium,Agent13,Analist3,27/06/24 11:48 AM,27/06/24 11:48 AM,27/06/24 12:22 PM,Product 4,Category34,935
64,NET-65941,65941,NET,Medium,Agent27,Analist16,27/06/24 11:33 AM,27/06/24 11:33 AM,27/06/24 2:19 PM,Product 4,Category10,2301
65,PLAT-10561,10561,PLAT,Low,Agent12,Analist3,27/06/24 11:33 AM,27/06/24 11:32 AM,27/06/24 11:34 AM,Product 4,Category35,1210
66,PLAT-27707,27707,PLAT,Low,Agent31,Analist6,27/06/24 11:28 AM,27/06/24 11:28 AM,28/06/24 10:06 AM,Product 4,Category5,1889
67,ROUT-73144,73144,ROUT,Low,Agent29,Analist4,27/06/24 11:34 AM,27/06/24 11:21 AM,27/06/24 2:13 PM,Product 4,Category16,1721
68,NET-99836,99836,NET,Low,Agent27,Analist17,27/06/24 11:20 AM,27/06/24 11:20 AM,27/06/24 5:21 PM,Product 4,Category23,450
69,PLAT-14377,14377,PLAT,Low,Agent19,Analist14,27/06/24 11:00 AM,27/06/24 11:00 AM,28/06/24 9:26 AM,Product 4,Category36,277
70,PLAT-39421,39421,PLAT,Low,Agent28,Analist3,27/06/24 10:29 AM,27/06/24 10:29 AM,27/06/24 10:32 AM,Product 4,Category31,699
71,NET-30263,30263,NET,Medium,Agent27,Analist2,27/06/24 10:28 AM,27/06/24 10:28 AM,27/06/24 3:37 PM,Product 4,Category10,1215
72,ROUT-03171,03171,ROUT,Low,Agent19,Analist18,27/06/24 10:23 AM,27/06/24 10:23 AM,28/06/24 8:11 AM,Product 4,Category16,2236
73,PLAT-11230,11230,PLAT,Low,Agent26,Analist8,27/06/24 10:46 AM,27/06/24 10:22 AM,28/06/24 9:01 AM,Product 4,Category5,476
74,NET-86442,86442,NET,Medium,Agent27,Analist16,27/06/24 10:10 AM,27/06/24 10:10 AM,27/06/24 2:07 PM,Product 4,Category10,1617
75,NET-18940,18940,NET,High,Agent27,Analist3,27/06/24 9:36 AM,27/06/24 9:36 AM,27/06/24 11:25 AM,Product 4,Category10,2202
76,NET-90130,90130,NET,Medium,Agent27,Analist17,27/06/24 9:20 AM,27/06/24 9:20 AM,27/06/24 3:20 PM,Product 4,Category37,2146
77,PLAT-17918,17918,PLAT,Low,Agent24,Analist3,28/06/24 10:07 AM,27/06/24 9:00 AM,28/06/24 10:07 AM,Product 4,Category5,1310
78,PLAT-79251,79251,PLAT,Low,Agent26,Analist14,27/06/24 8:36 AM,27/06/24 8:36 AM,28/06/24 8:47 AM,Product 4,Category12,465
79,PLAT-96975,96975,PLAT,Low,Agent32,Analist9,27/06/24 9:43 AM,27/06/24 7:34 AM,28/06/24 12:03 AM,Product 4,Category3,2181
80,PLAT-73761,73761,PLAT,Low,Agent32,Analist3,27/06/24 7:02 AM,27/06/24 7:02 AM,27/06/24 8:21 AM,Product 4,Category0,1569
81,NET-81508,81508,NET,Low,Agent32,Analist3,27/06/24 6:26 AM,27/06/24 6:26 AM,27/06/24 6:28 AM,Product 4,Category23,1457
82,SITE-40240,40240,SITE,Low,Agent32,Analist3,27/06/24 2:10 AM,27/06/24 2:10 AM,27/06/24 9:15 AM,Product 4,Category27,1987
83,BASE-57414,57414,BASE,Low,Agent32,Analist19,27/06/24 1:21 AM,27/06/24 1:21 AM,28/06/24 10:07 AM,Product 4,Category23,2268
84,ROUT-80453,80453,ROUT,Medium,Agent33,Analist18,27/06/24 9:45 AM,27/06/24 1:08 AM,27/06/24 6:46 PM,Product 4,Category16,1023
85,ROUT-71737,71737,ROUT,Low,Agent33,Analist12,27/06/24 9:48 AM,27/06/24 12:07 AM,27/06/24 4:36 PM,Product 4,Category4,1134
86,ROUT-87515,87515,ROUT,Low,Agent32,Analist5,27/06/24 12:03 AM,27/06/24 12:03 AM,28/06/24 8:49 AM,Product 4,Category16,368
87,PLAT-48113,48113,PLAT,Low,Agent34,Analist4,27/06/24 9:54 AM,26/06/24 10:29 PM,27/06/24 2:59 PM,Product 4,Category16,606
88,PLAT-24896,24896,PLAT,Low,Agent6,Analist3,26/06/24 10:00 PM,26/06/24 10:00 PM,27/06/24 5:57 PM,Product 4,Category5,756
89,PLAT-49268,49268,PLAT,Low,Agent6,Analist3,26/06/24 9:53 PM,26/06/24 9:53 PM,27/06/24 11:36 AM,Product 4,Category20,702
90,PLAT-38175,38175,PLAT,Low,Agent6,Analist8,27/06/24 10:01 AM,26/06/24 9:35 PM,28/06/24 9:14 AM,Product 4,Category11,2012
91,ROUT-67111,67111,ROUT,Low,Agent6,Analist4,27/06/24 9:45 AM,26/06/24 9:32 PM,28/06/24 8:57 AM,Product 4,Category13,2099
92,PLAT-75309,75309,PLAT,Low,Agent1,Analist12,27/06/24 11:36 AM,26/06/24 9:10 PM,27/06/24 3:54 PM,Product 4,Category5,415
93,PLAT-70444,70444,PLAT,Low,Agent17,Analist3,26/06/24 8:31 PM,26/06/24 8:31 PM,27/06/24 9:22 AM,Product 4,Category5,2123
94,PLAT-62305,62305,PLAT,High,Agent35,Analist1,26/06/24 8:03 PM,26/06/24 8:03 PM,28/06/24 5:50 AM,Product 4,Category33,1393
95,PLAT-06889,06889,PLAT,Medium,Agent5,Analist3,26/06/24 6:43 PM,26/06/24 6:43 PM,28/06/24 8:52 AM,Product 4,Category12,595
96,PLAT-02330,02330,PLAT,Low,Agent23,Analist14,26/06/24 8:54 PM,26/06/24 6:28 PM,27/06/24 3:43 PM,Product 4,Category12,1330
97,PLAT-35230,35230,PLAT,Low,Agent9,Analist9,27/06/24 2:21 PM,26/06/24 6:13 PM,28/06/24 9:14 AM,Product 4,Category7,1338
98,PLAT-19855,19855,PLAT,Low,Agent17,Analist9,26/06/24 6:11 PM,26/06/24 6:11 PM,27/06/24 12:25 PM,Product 4,Category38,1874
99,SITE-08183,08183,SITE,Low,Agent7,Analist9,26/06/24 6:04 PM,26/06/24 6:04 PM,27/06/24 11:40 AM,Product 4,Category17,1941
100,PLAT-90990,90990,PLAT,Low,Agent36,Analist4,26/06/24 5:59 PM,26/06/24 5:59 PM,27/06/24 4:41 PM,Product 4,Category13,390
101,ROUT-23804,23804,ROUT,Low,Agent37,Analist3,26/06/24 5:52 PM,26/06/24 5:52 PM,27/06/24 11:00 AM,Product 4,Category5,2266
102,PLAT-93418,93418,PLAT,Low,Agent13,Analist3,27/06/24 2:37 PM,26/06/24 5:42 PM,27/06/24 2:37 PM,Product 4,Category3,190
103,PLAT-59721,59721,PLAT,Low,Agent12,Analist3,26/06/24 5:32 PM,26/06/24 5:32 PM,27/06/24 2:41 PM,Product 4,Category4,1189
104,PLAT-13943,13943,PLAT,Low,Agent15,Analist8,26/06/24 5:27 PM,26/06/24 5:27 PM,27/06/24 2:21 PM,Product 4,Category5,1498
105,PLAT-79782,79782,PLAT,Low,Agent15,Analist9,26/06/24 5:14 PM,26/06/24 5:14 PM,28/06/24 1:14 AM,Product 4,Category39,453
106,BASE-07963,07963,BASE,Medium,Agent27,Analist3,26/06/24 5:10 PM,26/06/24 5:10 PM,27/06/24 9:46 AM,Product 4,Category10,2105
107,PLAT-96935,96935,PLAT,Low,Agent14,Analist8,27/06/24 9:47 AM,26/06/24 5:04 PM,27/06/24 5:31 PM,Product 4,Category5,945
108,PLAT-23700,23700,PLAT,Low,Agent38,Analist3,26/06/24 5:02 PM,26/06/24 5:00 PM,27/06/24 2:19 PM,Product 4,Category7,1945
109,PLAT-54734,54734,PLAT,Medium,Agent5,Analist2,27/06/24 3:56 PM,26/06/24 5:00 PM,28/06/24 9:35 AM,Product 4,Category5,428
110,PLAT-75032,75032,PLAT,Low,Agent13,Analist3,26/06/24 4:56 PM,26/06/24 4:56 PM,27/06/24 10:14 AM,Product 4,Category20,837
111,PLAT-66162,66162,PLAT,Low,Agent29,Analist3,26/06/24 4:49 PM,26/06/24 4:49 PM,26/06/24 4:54 PM,Product 4,Category40,1158
112,ROUT-63301,63301,ROUT,Low,Agent37,Analist0,27/06/24 2:46 PM,26/06/24 4:45 PM,27/06/24 3:05 PM,Product 4,Category0,1165
113,PLAT-04059,04059,PLAT,Low,Agent19,Analist9,27/06/24 11:43 AM,26/06/24 4:45 PM,28/06/24 9:22 AM,Product 4,Category3,2110
114,ROUT-97174,97174,ROUT,Medium,Agent39,Analist5,26/06/24 4:42 PM,26/06/24 4:42 PM,27/06/24 3:10 PM,Product 4,Category41,376
115,PLAT-60891,60891,PLAT,Medium,Agent7,Analist4,27/06/24 1:07 PM,26/06/24 4:42 PM,28/06/24 9:12 AM,Product 4,Category14,553
116,PLAT-56803,56803,PLAT,Low,Agent19,Analist2,26/06/24 4:36 PM,26/06/24 4:36 PM,27/06/24 8:13 AM,Product 4,Category42,352
117,SITE-14663,14663,SITE,Low,Agent17,Analist10,27/06/24 8:59 AM,26/06/24 4:30 PM,27/06/24 6:00 PM,Product 4,Category7,831
118,NET-24586,24586,NET,Medium,Agent27,Analist20,26/06/24 4:28 PM,26/06/24 4:28 PM,28/06/24 9:36 AM,Product 4,Category10,1626
119,PLAT-46821,46821,PLAT,Low,Agent26,Analist2,26/06/24 4:17 PM,26/06/24 4:17 PM,26/06/24 5:42 PM,Product 4,Category43,1463
120,PLAT-26086,26086,PLAT,Low,Agent26,Analist14,26/06/24 4:17 PM,26/06/24 4:17 PM,27/06/24 5:18 PM,Product 4,Category44,1362
121,ROUT-63845,63845,ROUT,Low,Agent36,Analist21,27/06/24 2:42 PM,26/06/24 4:11 PM,27/06/24 4:59 PM,Product 4,Category19,1399
122,PLAT-11679,11679,PLAT,Low,Agent14,Analist14,26/06/24 4:19 PM,26/06/24 4:05 PM,27/06/24 11:03 AM,Product 4,Category45,743
123,PLAT-45874,45874,PLAT,Low,Agent30,Analist3,26/06/24 4:03 PM,26/06/24 4:03 PM,27/06/24 1:51 PM,Product 4,Category5,2254
124,ROUT-64198,64198,ROUT,Low,Agent40,Analist3,26/06/24 3:46 PM,26/06/24 3:40 PM,27/06/24 6:24 PM,Product 4,Category9,1838
125,DATA-77712,77712,DATA,Low,Agent12,Analist2,26/06/24 4:23 PM,26/06/24 3:33 PM,26/06/24 6:19 PM,Product 4,Category12,675
126,PLAT-38761,38761,PLAT,Low,Agent15,Analist1,26/06/24 3:25 PM,26/06/24 3:25 PM,27/06/24 8:26 AM,Product 4,Category3,1495
127,ROUT-83430,83430,ROUT,High,Agent22,Analist3,27/06/24 10:58 AM,26/06/24 3:23 PM,27/06/24 2:11 PM,Product 4,Category46,69
128,PLAT-29258,29258,PLAT,Low,Agent4,Analist12,26/06/24 2:53 PM,26/06/24 2:53 PM,26/06/24 7:40 PM,Product 4,Category33,1014
129,NET-56061,56061,NET,Low,Agent27,Analist20,26/06/24 2:52 PM,26/06/24 2:52 PM,26/06/24 3:44 PM,Product 4,Category10,678
130,ROUT-56558,56558,ROUT,Low,Agent35,Analist1,27/06/24 10:44 AM,26/06/24 2:46 PM,27/06/24 12:16 PM,Product 4,Category0,2309
131,PLAT-44120,44120,PLAT,Low,Agent28,Analist3,26/06/24 2:42 PM,26/06/24 2:42 PM,26/06/24 2:43 PM,Product 4,Category3,74
132,PLAT-70540,70540,PLAT,Low,Agent38,Analist3,26/06/24 2:37 PM,26/06/24 2:37 PM,27/06/24 2:34 PM,Product 4,Category7,906
133,ROUT-58647,58647,ROUT,Low,Agent2,Analist12,26/06/24 2:37 PM,26/06/24 2:37 PM,27/06/24 6:48 AM,Product 4,Category0,850
134,PLAT-16044,16044,PLAT,Low,Agent24,Analist4,26/06/24 2:35 PM,26/06/24 2:35 PM,26/06/24 5:58 PM,Product 4,Category5,980
135,ROUT-56635,56635,ROUT,Low,Agent29,Analist5,26/06/24 3:30 PM,26/06/24 2:30 PM,27/06/24 8:45 AM,Product 4,Category32,1887
136,CONN-6080,6080,CONN,High,Agent27,Analist22,26/06/24 2:24 PM,26/06/24 2:24 PM,27/06/24 12:45 PM,Product 4,Category23,1570
137,NET-08915,08915,NET,High,Agent21,Analist17,26/06/24 1:54 PM,26/06/24 1:48 PM,26/06/24 5:32 PM,Product 4,Category37,1621
138,ROUT-28148,28148,ROUT,Low,Agent5,Analist5,28/06/24 8:40 AM,26/06/24 1:24 PM,28/06/24 9:30 AM,Product 4,Category13,499
139,PLAT-99081,99081,PLAT,Medium,Agent28,Analist11,26/06/24 1:11 PM,26/06/24 1:11 PM,28/06/24 9:13 AM,Product 4,Category47,1015
140,ROUT-08905,08905,ROUT,Lowest,Agent15,Analist18,26/06/24 1:04 PM,26/06/24 1:04 PM,28/06/24 9:17 AM,Product 4,Category9,1713
141,PLAT-48072,48072,PLAT,Low,Agent31,Analist3,26/06/24 12:59 PM,26/06/24 12:59 PM,27/06/24 9:00 AM,Product 4,Category5,1016
142,PLAT-71852,71852,PLAT,Low,Agent13,Analist9,27/06/24 9:30 AM,26/06/24 12:55 PM,27/06/24 10:22 AM,Product 4,Category48,963
143,PLAT-18864,18864,PLAT,Low,Agent12,Analist12,26/06/24 12:46 PM,26/06/24 12:46 PM,26/06/24 2:07 PM,Product 4,Category9,1038
144,ROUT-94668,94668,ROUT,Low,Agent5,Analist3,26/06/24 12:37 PM,26/06/24 12:37 PM,27/06/24 2:34 PM,Product 4,Category6,695
145,ROUT-37679,37679,ROUT,Low,Agent41,Analist5,27/06/24 3:36 PM,26/06/24 12:36 PM,27/06/24 3:41 PM,Product 4,Category16,1541
146,PLAT-13099,13099,PLAT,Low,Agent7,Analist11,27/06/24 2:19 PM,26/06/24 12:13 PM,27/06/24 3:04 PM,Product 4,Category7,290
147,PLAT-69252,69252,PLAT,Low,Agent40,Analist14,26/06/24 12:15 PM,26/06/24 12:11 PM,27/06/24 7:28 AM,Product 4,Category36,1612
148,PLAT-30129,30129,PLAT,Low,Agent26,Analist12,26/06/24 12:07 PM,26/06/24 12:07 PM,27/06/24 11:08 AM,Product 4,Category5,2256
149,ROUT-45522,45522,ROUT,Low,Agent29,Analist3,26/06/24 12:02 PM,26/06/24 12:02 PM,26/06/24 12:06 PM,Product 4,Category34,274
150,PLAT-34259,34259,PLAT,Low,Agent2,Analist4,26/06/24 11:58 AM,26/06/24 11:58 AM,26/06/24 3:29 PM,Product 4,Category7,853
151,PLAT-34533,34533,PLAT,Low,Agent15,Analist6,26/06/24 11:38 AM,26/06/24 11:38 AM,26/06/24 1:59 PM,Product 4,Category45,654
152,PLAT-34081,34081,PLAT,Medium,Agent39,Analist12,26/06/24 11:33 AM,26/06/24 11:33 AM,27/06/24 10:07 AM,Product 4,Category41,1634
153,SITE-55580,55580,SITE,High,Agent4,Analist10,26/06/24 11:31 AM,26/06/24 11:29 AM,26/06/24 2:38 PM,Product 4,Category49,1522
154,ROUT-37957,37957,ROUT,Medium,Agent28,Analist3,26/06/24 11:18 AM,26/06/24 11:18 AM,27/06/24 4:25 PM,Product 4,Category0,2154
155,NET-42108,42108,NET,Medium,Agent11,Analist17,26/06/24 11:01 AM,26/06/24 11:01 AM,27/06/24 3:37 PM,Product 4,Category23,942
156,PLAT-86075,86075,PLAT,Low,Agent40,Analist0,26/06/24 11:28 AM,26/06/24 10:56 AM,26/06/24 12:25 PM,Product 4,Category3,1544
157,NET-19385,19385,NET,Medium,Agent42,Analist23,26/06/24 10:47 AM,26/06/24 10:47 AM,26/06/24 11:45 AM,Product 4,Category50,2251
158,BASE-38378,38378,BASE,Medium,Agent27,Analist3,26/06/24 10:43 AM,26/06/24 10:43 AM,26/06/24 5:30 PM,Product 4,Category10,1527
159,PLAT-44241,44241,PLAT,Medium,Agent8,Analist9,27/06/24 10:32 AM,26/06/24 10:27 AM,27/06/24 10:46 AM,Product 4,Category7,9
160,ROUT-25765,25765,ROUT,Not Informed,Agent24,Analist5,26/06/24 10:26 AM,26/06/24 10:26 AM,26/06/24 5:32 PM,Product 4,Category19,1035
161,PLAT-89129,89129,PLAT,Low,Agent20,Analist8,26/06/24 3:31 PM,26/06/24 10:19 AM,27/06/24 3:44 PM,Product 4,Category5,1368
162,CONN-2328,2328,CONN,Medium,Agent11,Analist3,26/06/24 10:17 AM,26/06/24 10:17 AM,26/06/24 10:26 AM,Product 4,Category10,1555
163,DATA-50214,50214,DATA,Low,Agent24,Analist24,26/06/24 11:04 AM,26/06/24 10:07 AM,26/06/24 12:10 PM,Product 4,Category22,634
164,ROUT-75937,75937,ROUT,Low,Agent29,Analist18,26/06/24 10:03 AM,26/06/24 9:55 AM,28/06/24 9:46 AM,Product 4,Category13,79
165,DATA-15821,15821,DATA,Low,Agent6,Analist14,26/06/24 9:53 AM,26/06/24 9:53 AM,26/06/24 6:11 PM,Product 4,Category12,1212
166,NET-11422,11422,NET,Medium,Agent2,Analist17,26/06/24 9:51 AM,26/06/24 9:51 AM,26/06/24 3:13 PM,Product 4,Category23,8
167,PLAT-44946,44946,PLAT,Low,Agent14,Analist9,26/06/24 9:49 AM,26/06/24 9:39 AM,27/06/24 8:50 AM,Product 4,Category15,988
168,PLAT-45124,45124,PLAT,Medium,Agent8,Analist3,26/06/24 9:28 AM,26/06/24 9:28 AM,27/06/24 2:34 PM,Product 4,Category3,545
